id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15411577,Huge Luxury Southie Condo 2 bed/2 bath,21541399,Mary,,South Boston,42.33645853687319,-71.0369138133365,Entire home/apt,250,1,58,2018-08-05,2.57,2,224
15412846,Brand New Room+ Private Bathroom~2 mins from the T,1937655,Cindy,,Allston,42.35360376961402,-71.1253958830586,Private room,85,1,31,2017-11-12,2.20,1,0
15417450,Beaming Spacious Accomm. in Back Bay| 3BR 1BA #2,1444340,Will,,Back Bay,42.349782285862595,-71.08888004236798,Entire home/apt,400,2,33,2018-07-25,1.94,30,164
15420883,Comfortable south end home.,51677667,Davant,,South End,42.34063643415166,-71.07877768225298,Entire home/apt,175,1,24,2018-08-05,1.08,1,21
15429538,"Serene, light-filled room for 2 in old Victorian.",12164071,Cynthia And Paul,,Jamaica Plain,42.31343578989255,-71.10817514440127,Private room,50,2,110,2018-08-12,4.92,2,294
15429888,Evolve Suites Tremont,18202088,Luxurious,,Mission Hill,42.33061723689119,-71.0974565964301,Entire home/apt,159,2,15,2018-05-26,0.68,19,0
15433453,3BR HOUSE with parking! An Oasis in heart of city!,68415437,Michaela,,South Boston,42.33142959644718,-71.0478394500204,Entire home/apt,500,2,47,2018-08-11,2.19,1,146
15435324,Modern Back Bay 1BR,55655463,Brenna,,Back Bay,42.350582400169394,-71.08937438110107,Entire home/apt,229,1,69,2018-08-11,4.60,1,54
15437077,Convenient Charlestown Location,98988662,Jake,,Charlestown,42.382964811871425,-71.0790970781706,Private room,90,1,151,2018-08-15,6.87,1,0
15444531,Large Studio in Downtown Boston!,97258063,Mmg,,North End,42.363476210385535,-71.05487377785003,Entire home/apt,129,1,76,2018-08-12,6.55,3,88
15444930,Spacious Studio in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35442453166028,-71.05846715336718,Entire home/apt,699,2,27,2018-05-04,1.24,292,106
15451419,"Luxury Apartment, 2 Bedrooms, 2 Baths, 5 Stars!",99114901,Greg,,South End,42.3392203242003,-71.07183778774451,Entire home/apt,320,1,9,2016-11-20,0.40,1,0
15453527,"Renovated Clean house, Orange Line, EZ to Longwood",18517776,Huggy,,Roxbury,42.31399430880877,-71.09216876003873,Private room,36,30,5,2018-01-28,0.22,12,365
15462047,"Back Bay Bright, Modern Jr One Bedroom",7726008,Maria,,Back Bay,42.34985263050593,-71.0733001032173,Entire home/apt,190,1,15,2018-08-12,1.17,1,24
15462293,Lovely 3BR in South End by Sonder,12243051,Sonder,,Roxbury,42.3338057144321,-71.0800066018481,Entire home/apt,699,2,33,2018-07-14,1.48,292,0
15463154,Modern Studio in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35577774548422,-71.05943645133819,Entire home/apt,699,2,49,2018-07-24,2.19,292,98
15468130,Sunny 1BR in South End by Sonder,12243051,Sonder,,Roxbury,42.33521996623609,-71.07933339676828,Entire home/apt,699,2,11,2018-07-13,0.61,292,0
15470153,MBR KSB / Free HSI /1 Complimentary airport pickup,99116128,Nancy,,West Roxbury,42.279023513840194,-71.1506114676217,Private room,100,3,0,,,2,0
15471042,Central Boston luxury 1brm w/ sleep sofa and gym,66533138,Val,,North End,42.36361065301809,-71.05679911831172,Entire home/apt,130,1,123,2018-07-30,5.67,5,216
15476718,Lower Allston,99345769,Danny,,Brighton,42.36182036416254,-71.14011283456405,Private room,85,1,5,2018-04-28,0.44,1,0
15481668,"Historic Charlestown (Boston), updated 1 bed!",22289025,Jeff,,Charlestown,42.3781582873151,-71.06293368217307,Entire home/apt,265,2,3,2017-11-19,0.14,1,174
15481806,MBR QSB / Free HSI /1 Complimentary airport pickup,99116128,Nancy,,West Roxbury,42.27975889996162,-71.15210471254038,Private room,100,3,0,,,2,0
15483912,Downstairs Room in Stunning NorthEnd Loft,1238379,Jacobo & Elizabeth,,North End,42.36782370572116,-71.05708315275876,Private room,80,1,58,2018-08-15,2.68,1,250
15494066,Single-family house between Downtown & Airport,28839396,Zach,,East Boston,42.3664316005384,-71.03724286807666,Entire home/apt,289,2,14,2018-06-24,0.73,1,48
15500230,"Comfortable, convenient apartment in East Boston",43052087,Susanne,,East Boston,42.379345859969945,-71.03452435514053,Entire home/apt,135,2,111,2018-08-04,5.61,1,6
15504162,"Designer Studio & Patio, Hot-Tub in Best Location",825370,Sebastien,,Back Bay,42.35486845301227,-71.07650888093751,Entire home/apt,265,1,164,2018-07-22,7.44,1,59
15508045,#Lux New 1-Bedroom Apartment in Fenway,30283594,Kara,,Fenway,42.343584131805386,-71.09995798610855,Entire home/apt,124,25,1,2016-11-06,0.05,188,45
15508735,1 Bedroom in house  in Charlestown,30366968,Michael,,Charlestown,42.3815716508324,-71.06754271848672,Private room,150,1,3,2018-07-29,2.43,1,191
15509837,Large Bright Best Location Modern Brownstone,1024562,Neha,,Back Bay,42.34268049295858,-71.08231762362317,Private room,120,1,57,2018-04-22,2.57,1,0
